V-Cu-Zn-Ta-Pt,7-7-7-7-4,4.69291354064828260100,1066
V-Cu-Zn-Au-Pt,7-7-7-7-4,4.04606290114229440100,1071
V-Cu-Nb-Mo-Pt,7-7-7-7-4,4.73226954008327805400,1089
V-Cu-Nb-Tc-Pt,7-7-7-7-4,4.68844990375283843600,1090
V-Cu-Nb-Ru-Pt,7-7-7-7-4,4.78238957007895792300,1091
V-Cu-Nb-Rh-Pt,7-7-7-7-4,4.72595889740907501200,1092
V-Cu-Nb-Pd-Pt,7-7-7-7-4,4.67182378734472389900,1093
V-Cu-Nb-W-Pt,7-7-7-7-4,4.79038751042126027200,1098
V-Cu-Nb-Re-Pt,7-7-7-7-4,4.67182378734472389900,1099
V-Cu-Nb-Os-Pt,7-7-7-7-4,4.72595889740907501200,1100
V-Cu-Nb-Ir-Pt,7-7-7-7-4,4.68844990375283843600,1101
V-Cu-Mo-Ag-Pt,7-7-7-7-4,4.30990864172316302200,1108
V-Cu-Mo-Ta-Pt,7-7-7-7-4,4.73226954008327805400,1111
V-Cu-Mo-Au-Pt,7-7-7-7-4,4.11335477439036371700,1116
V-Cu-Tc-Ag-Pt,7-7-7-7-4,4.20661681164329489900,1121
V-Cu-Tc-Ta-Pt,7-7-7-7-4,4.68844990375283843600,1124
V-Cu-Ru-Ag-Pt,7-7-7-7-4,4.28474765884760126000,1133
V-Cu-Ru-Ta-Pt,7-7-7-7-4,4.78238957007895792300,1136
V-Cu-Ru-Au-Pt,7-7-7-7-4,4.04471105272057722000,1141
V-Cu-Rh-Ag-Pt,7-7-7-7-4,4.23504722523846243800,1144
V-Cu-Rh-Ta-Pt,7-7-7-7-4,4.72595889740907501200,1147
V-Cu-Pd-Ag-Pt,7-7-7-7-4,4.21604079676655880400,1154
V-Cu-Pd-Ta-Pt,7-7-7-7-4,4.67182378734472389900,1157
V-Cu-Pd-Au-Pt,7-7-7-7-4,4.00023436813394722300,1162
V-Cu-Ag-W-Pt,7-7-7-7-4,4.38669864476692768400,1167
V-Cu-Ag-Re-Pt,7-7-7-7-4,4.21604079676655880400,1168
V-Cu-Ag-Os-Pt,7-7-7-7-4,4.23504722523846243800,1169
V-Cu-Ag-Ir-Pt,7-7-7-7-4,4.20661681164329489900,1170
V-Cu-Ag-Au-Pt,7-7-7-7-4,4.72195669188102571200,1171
V-Cu-Ta-W-Pt,7-7-7-7-4,4.79038751042126027200,1188
V-Cu-Ta-Re-Pt,7-7-7-7-4,4.67182378734472389900,1189
V-Cu-Ta-Os-Pt,7-7-7-7-4,4.72595889740907501200,1190
V-Cu-Ta-Ir-Pt,7-7-7-7-4,4.68844990375283843600,1191
V-Cu-W-Au-Pt,7-7-7-7-4,4.20066958948213397800,1197
V-Cu-Re-Au-Pt,7-7-7-7-4,4.00023436813394722300,1201
V-Nb-Ru-Ta-Pt,7-7-7-7-4,4.18654839933805136400,1497
V-Nb-Rh-Ta-Pt,7-7-7-7-4,4.01411571831206679700,1508
V-Nb-Ta-Os-Pt,7-7-7-7-4,4.01411571831206679700,1551
Cr-Mn-Fe-Zn-Pt,7-7-7-7-4,4.37514285481057178200,2028
Cr-Mn-Fe-Mo-Pt,7-7-7-7-4,4.60166410117035813100,2031
Cr-Mn-Fe-Pd-Pt,7-7-7-7-4,4.15865062249763895600,2035
Cr-Mn-Fe-W-Pt,7-7-7-7-4,4.83635322324579597000,2040
Cr-Mn-Fe-Re-Pt,7-7-7-7-4,4.15865062249763895600,2041
Cr-Mn-Co-Zn-Pt,7-7-7-7-4,4.66710563411628813700,2048
Cr-Mn-Co-Mo-Pt,7-7-7-7-4,4.89195768583498686000,2051
Cr-Mn-Co-Tc-Pt,7-7-7-7-4,4.05755468231791054900,2052
Cr-Mn-Co-Pd-Pt,7-7-7-7-4,4.45252737217863715100,2055
Cr-Mn-Co-Re-Pt,7-7-7-7-4,4.45252737217863715100,2061
Cr-Mn-Co-Ir-Pt,7-7-7-7-4,4.05755468231791054900,2063
Cr-Mn-Ni-Zn-Pt,7-7-7-7-4,4.66710563411628813700,2067
Cr-Mn-Ni-Mo-Pt,7-7-7-7-4,4.89195768583498686000,2070
Cr-Mn-Ni-Tc-Pt,7-7-7-7-4,4.05755468231791054900,2071
Cr-Mn-Ni-Pd-Pt,7-7-7-7-4,4.45252737217863715100,2074
Cr-Mn-Ni-Re-Pt,7-7-7-7-4,4.45252737217863715100,2080
Cr-Mn-Ni-Ir-Pt,7-7-7-7-4,4.05755468231791054900,2082
Cr-Mn-Cu-Zn-Pt,7-7-7-7-4,4.25822733070934107400,2085
Cr-Mn-Cu-Mo-Pt,7-7-7-7-4,4.48406902266234077600,2088
Cr-Mn-Cu-Pd-Pt,7-7-7-7-4,4.04277905654019138800,2092
Cr-Mn-Cu-W-Pt,7-7-7-7-4,4.71834849285213353200,2097
Cr-Mn-Cu-Re-Pt,7-7-7-7-4,4.04277905654019138800,2098
Cr-Mn-Zn-Mo-Pt,7-7-7-7-4,4.62172181118682217900,2105
Cr-Mn-Zn-Tc-Pt,7-7-7-7-4,4.15026354584862477900,2106
Cr-Mn-Zn-Ru-Pt,7-7-7-7-4,4.03511926713449202300,2107
Cr-Mn-Zn-Rh-Pt,7-7-7-7-4,4.08158976380527493100,2108
Cr-Mn-Zn-Pd-Pt,7-7-7-7-4,4.35000000000000000000,2109
Cr-Mn-Zn-W-Pt,7-7-7-7-4,4.78020004811514138300,2114
Cr-Mn-Zn-Re-Pt,7-7-7-7-4,4.35000000000000000000,2115
Cr-Mn-Zn-Os-Pt,7-7-7-7-4,4.08158976380527493100,2116
Cr-Mn-Zn-Ir-Pt,7-7-7-7-4,4.15026354584862477900,2117
Cr-Mn-Mo-Tc-Pt,7-7-7-7-4,4.32673375654199457600,2151
Cr-Mn-Mo-Ru-Pt,7-7-7-7-4,4.23080222889229366000,2152
Cr-Mn-Mo-Rh-Pt,7-7-7-7-4,4.26772041024245167200,2153
Cr-Mn-Mo-Pd-Pt,7-7-7-7-4,4.50482380343560163000,2154
Cr-Mn-Mo-W-Pt,7-7-7-7-4,4.90255035670211142800,2159
Cr-Mn-Mo-Re-Pt,7-7-7-7-4,4.50482380343560163000,2160
Cr-Mn-Mo-Os-Pt,7-7-7-7-4,4.26772041024245167200,2161
Cr-Mn-Mo-Ir-Pt,7-7-7-7-4,4.32673375654199457600,2162
Cr-Mn-Tc-W-Pt,7-7-7-7-4,4.51604777432657370600,2172
Cr-Mn-Ru-W-Pt,7-7-7-7-4,4.43783449443532087200,2184
Cr-Mn-Rh-W-Pt,7-7-7-7-4,4.46678715633507659500,2195
Cr-Mn-Pd-W-Pt,7-7-7-7-4,4.67419779213503116300,2205
Cr-Mn-Pd-Re-Pt,7-7-7-7-4,4.21144274566329584800,2206
Cr-Mn-W-Re-Pt,7-7-7-7-4,4.67419779213503116300,2241
Cr-Mn-W-Os-Pt,7-7-7-7-4,4.46678715633507659500,2242
